Precinct,Name,n/a,n/a,D4225B2A-4451-41C8-8F51-1FC6E6CF754D,n/a,222072C0-5577-4FCF-A436-42FBD22B8480,A2594459-C799-4660-8A04-D074587BE1B6,44E061A4-CEA7-4860-BC83-0FE44334EC3A,n/a,
1,Leah Broder,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
1,Gregory Dennis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1,Nada El-Newahy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
1,Stephanie Ford-Weems,Yes,Yes,Yes,Yes,Abstain,Abstain,Yes,Yes,Yes
1,Asia Kepka,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
1,Marian King,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
1,Paul Marshall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Kevin Mills,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Juliet Moir,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1,Rebecca Persson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
1,Stephen Revilak,Abstain,Yes,Yes,Yes,No,No,Yes,Yes,Yes
1,Peter Young,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Alexander Bilsky,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Steven Cella,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,Samit Chhabra,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2,Stephen DeCourcey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
2,Peter Gast,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2,Bill Hayner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
2,Aimee Lim-Miller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,William Logan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,Mark McCabe,Yes,Yes,Yes,Yes,No,,Yes,Yes,No
2,Virginia Reeder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,Robert Rossi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2,Brendan Sullivan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3,Adam Auster,Yes,Yes,Abstain,Yes,Yes,Yes,Yes,Yes,No
3,Lenard Diggins,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3,Robin Dratch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,
3,John Ellis,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
3,Robert Marlin,Yes,Yes,Yes,Yes,No,No,No,Yes,No
3,Kezia Simister,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Stacie Smith,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
3,Susan Stamps,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
3,Jennifer Susse,Yes,Yes,Yes,Yes,Abstain,No,Yes,Yes,No
3,Anne Thompson,,,,,,,,,
3,Courtney Urick,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
3,Christopher Wilbur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Alia Atlas,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
4,Patricia Costa,Yes,Yes,Yes,Yes,,Yes,Yes,No,Yes
4,Silvia Domínguez,Yes,Yes,Yes,No,No,No,No,Yes,
4,Nawwaf Kaba,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
4,Kate Leary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
4,Adam MacNeill,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
4,Madeleine McClure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
4,Michele Phelan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Clarissa Rowe,Yes,Yes,Yes,Yes,No,No,No,No,Yes
4,Alham Saadat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Carolyn Sullivan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
4,Ethan Zimmer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
5,Adam Badik,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
5,Jason Donnelly,,,,,,,,,
5,Catherine Farrell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
5,Patrick Hanlon,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
5,Christa Kelleher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Karen Kelleher,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
5,Lauren Ledger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Katherine Mayers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Brian McMurray,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5,Christine Michael,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
5,David Swanson,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5,Peter Thompson,Yes,Yes,Yes,Yes,No,No,No,Yes,No
6,James Ballin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Charles Blandy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Mara Collins,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
6,Andrew Fischer,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6,Daniel Jalkut,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Adele Kraus,,Yes Verbally,Yes,Yes,No,Yes,Yes,Yes,Yes
6,George McNinch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
6,Theodore Peluso,,Yes,Yes,Yes,No,No,No,,
6,Lisa Reynolds,,,,,,,,,
6,Jill Snyder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Laura Tracey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
6,Lesley Waxman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Alexander Bagnall,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
7,Sheri Baron,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Phil Goff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,Roderick Holland,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
7,Mary Malek-Odom,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,
7,Catherine McParland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,Thomas Michelman,Yes,Yes,Yes,Yes,Abstain,Abstain,Abstain,Yes,Yes
7,Lisa Pedulla,Yes,Yes,Yes,Yes,No,No,No,Yes,No
7,Laurence Slotnick,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
7,Betty Stone,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
7,Timur Yontar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
7,Rebecca Younkin,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
8,Carol Band,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
8,William Berkowitz,Yes,Yes,Yes,Yes Verbally,No Verbally,,,Yes,Yes
8,Elizabeth Dray,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
8,Charles Foskett,Yes,Yes,Yes,Yes,No,No,No,Yes,No
8,Irwin Grossman,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
8,Sharon Grossman,Yes,Yes,Yes,Yes,No,No,No,Yes,No
8,Scott Lever,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Joshua Lobel,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
8,Sophie Migliazzo,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
8,Brian Rehrig,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
8,John Worden,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
8,Patricia Worden,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
9,Lisa Blankespoor,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
9,Barbara Boltz,,Yes Verbally,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes
9,Brian Hasbrouck,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
9,Steven Liggett,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Mona Mandal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
9,Susan McCabe,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Beth Melofchik,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
