precinct,name,3FE6C2C4-E9A9-47C5-A501-C1A1B6D375F1,677FE63A-EE90-4D5E-9A6D-C1A5AA59863A,1C10B7B9-0F5D-4F3C-B202-D38255144435,33E3472F-ED82-4471-99C4-1E180B6C016B
1,Leah Broder,Yes,Yes,No,Yes
1,Gregory Dennis,Yes,Yes,Yes,Yes
1,Nada El-Newahy,Yes,Yes,No,Yes
1,Stephanie Ford-Weems,Yes,Yes,Yes,Yes
1,Asia Kepka,Yes,Yes,No,
1,Marian King,Yes,Yes,Yes,Yes
1,Paul Marshall,Yes,Yes,Yes,Yes
1,Kevin Mills,Yes,Yes,Yes,Yes
1,Juliet Moir,Yes,Yes,Yes,Yes
1,Rebecca Persson,Yes,Yes,Yes,Yes
1,Stephen Revilak,Yes,Yes,Yes,Yes
1,Peter Young,Yes,Yes,Yes,Yes
2,Alexander Bilsky,Yes,Yes,Yes,Yes
2,Steven Cella,Yes,Yes,Yes,Yes
2,Samit Chhabra,Yes,Yes,Yes,Yes
2,Stephen DeCourcey,Yes,Yes,Yes,Yes
2,Peter Gast,Yes,Yes,No,Yes
2,Bill Hayner,Yes,Yes,Yes,Yes
2,Aimee Lim-Miller,Yes,Yes,Abstain,Yes
2,William Logan,Yes,Yes,Yes,Yes
2,Mark McCabe,Yes,Yes,Yes,Yes
2,Virginia Reeder,Yes,Yes,No,Yes
2,Robert Rossi,Yes,Yes,Yes,Yes
2,Brendan Sullivan,Yes,Yes,Yes,Yes
3,Adam Auster,Yes,Yes,Yes,Yes
3,Lenard Diggins,Yes,Yes,Yes,Yes
3,Robin Dratch,,,,
3,John Ellis,Yes,Yes,Yes,Yes
3,Robert Marlin,Yes,Yes,No,No
3,Kezia Simister,Yes,Yes,Yes,Yes
3,Stacie Smith,Yes,Yes,No,Yes
3,Susan Stamps,Yes,Yes,Yes,Yes
3,Jennifer Susse,Yes,Yes,Yes,Yes
3,Anne Thompson,Yes,Yes,No,Yes
3,Courtney Urick,Yes,Yes,No,Yes
3,Christopher Wilbur,Yes,Yes,Yes,Yes
4,Alia Atlas,Yes,Yes,No,Yes
4,Patricia Costa,,,,
4,Silvia Dominguez,Yes,Yes,No,No
4,Nawwaf Kaba,Yes,Yes,Yes,Yes
4,Kate Leary,Yes,Yes,No,Yes
4,Adam MacNeill,Yes,Yes,No,Abstain
4,Madeleine McClure,Yes,Yes,Abstain,Yes
4,Michele Phelan,Yes,Yes,Yes,Yes
4,Clarissa Rowe,Yes,Yes,,
4,Alham Saadat,Yes,Yes,No,Yes
4,Carolyn Sullivan,Yes,No,Yes,Yes
4,Ethan Zimmer,Yes,,No,Yes
5,Adam Badik,Yes,Yes,Yes,Yes
5,Jason Donnelly,,,,
5,Catherine Farrell,Yes,Yes,Yes,Yes
5,Patrick Hanlon,Yes,Yes,No,Yes
5,Christa Kelleher,Yes,Yes,Yes,Yes
5,Karen Kelleher,Yes,Yes,Yes,Yes
5,Lauren Ledger,Yes,Yes,Yes,Yes
5,Katherine Mayers,Yes,Yes,No,Yes
5,Brian McMurray,Yes,Yes,Abstain,Yes
5,Christine Michael,Yes,Yes,Yes,Yes
5,David Swanson,Yes,Yes,Yes,Yes
5,Peter Thompson,Yes,Yes,Yes,Yes
6,James Ballin,Yes,Yes,Yes,Yes
6,Charles Blandy,Yes,Yes,No,Yes
6,Mara Collins,Yes,Yes,Yes,Yes
6,Andrew Fischer,Yes,Yes,Yes,Yes
6,Daniel Jalkut,Yes,Yes,No,Yes
6,Adele Kraus,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally
6,George McNinch,Yes,Yes,No,Yes
6,Theodore Peluso,,,,
6,Lisa Reynolds,No,No,No,Abstain
6,Jill Snyder,Yes,Yes,Yes,Yes
6,Laura Tracey,Yes,Yes,Yes,Yes
6,Lesley Waxman,Yes,Yes,Abstain,Yes
7,Alexander Bagnall,Yes,Yes,No,Yes
7,Sheri Baron,Yes,Yes,Yes,Yes
7,Phil Goff,Yes,Yes,No,Yes
7,Roderick Holland,Yes,Yes,Yes,Yes
7,Mary Malek-Odom,Yes,Yes,No,Yes
7,Catherine McParland,Yes,Yes,Yes,Yes
7,Thomas Michelman,Yes,Yes,Yes,Yes
7,Lisa Pedulla,Yes,Yes,Yes,Yes
7,Laurence Slotnick,Yes,Yes,Yes,Yes
7,Betty Stone,Yes,Yes,No,Yes
7,Timur Yontar,Yes,Yes,No,Abstain
7,Rebecca Younkin,Yes,Yes,Yes,Yes
8,Carol Band,Yes,Yes,Yes,No
8,William Berkowitz,Yes,Yes,Yes,Yes
8,Elizabeth Dray,Yes,Yes,No,Yes
8,Charles Foskett,Yes,Yes,Yes,Yes
8,Irwin Grossman,Yes,Yes,Yes,Yes
8,Sharon Grossman,Yes,Yes,Yes,Yes
8,Scott Lever,No,Yes,Yes,Yes
8,Joshua Lobel,Yes,Yes,No,Yes
8,Sophie Migliazzo,No,Yes,Yes,Yes
8,Brian Rehrig,Yes,Yes,Yes,Yes
8,John Worden,No,Yes,No,Yes
8,Patricia Worden,No,No,No,Yes
9,Lisa Blankespoor,Yes,Yes,No,Yes
9,Barbara Boltz,Yes,Yes,No,Yes
9,Brian Hasbrouck,Yes,Yes,No,Yes
9,Steven Liggett,Yes,Yes,Yes,Yes
9,Mona Mandal,Yes,Yes,No,Yes
9,Susan McCabe,Yes,Yes,No,Yes
9,Beth Melofchik,No,Yes,No,Yes
9,Jo Anne Preston,Yes,,No,No
9,Michael Ruderman,Yes,Yes,No,
9,Paul Schlichtman,Yes,Yes,Yes,Yes
9,Susan Stewart,Yes,Yes,Yes,Yes
9,Rieko Tanaka,Yes,Yes,Yes,Yes
10,Barbara Costa,Yes,Yes,No,Yes
10,Danuta Forbes,Yes,Yes,Yes,Yes
10,Jane Howard,Yes,Yes,Yes,Yes
10,Peter Howard,Yes,Yes,Yes,Yes
10,Christian Klein,Yes,Yes,Yes,Yes
10,Charlotte Milan,Yes,Yes,Yes,Yes
10,Sanjay Newton,Yes,Yes,No,Yes
10,Elizabeth Pyle,Yes,Yes,No,Yes
10,Michael Quinn,Yes,Yes,No,Yes
10,Christopher Rohter,Yes,Yes,Yes,Yes
10,Mustafa Varoglu,Yes,Yes,No,Yes
10,Donna Wren,Yes,Yes,No,Yes
11,Mary Ellen Bilafer,Yes,Yes,Yes,Yes
11,Christine Carney,Yes,Yes,Yes,Yes
11,Lynette Culverhouse,Yes Verbally,Yes,No,Abstain
