precinct,name,D4FB9490-1894-4FDA-8B56-7F4F3ED9B091,644C66DB-A941-4A6B-84E8-F6BC74C141C9,9CDF26E3-3012-4632-8C7B-C1456DDF3064,99BD0065-026B-4EA4-B088-501D2FC573E1,A62D6806-BC94-4561-A4B0-64452E37D193,509E1F9B-270D-4409-B7F1-8A0487C52CF1,EB8CB5C3-1BB2-4E6C-85D3-13194B72280A,34EBB1ED-214E-4930-A9FA-DA40D22EAF55,86436A87-85C4-4462-8155-61ED1422AF89
1,Leah Broder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Gregory Dennis,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Nada El-Newahy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Stephanie Ford-Weems,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
1,Asia Kepka,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Marian King,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Paul Marshall,Yes Verbally,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Kevin Mills,No,No,Yes,Yes,Yes,Yes,Yes,No,Abstain
1,Juliet Moir,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Rebecca Persson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Stephen Revilak,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Peter Young,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Alexander Bilsky,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Steven Cella,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
2,Samit Chhabra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Stephen DeCourcey,No,No,Yes,Yes,Yes,Yes,Yes,Abstain,Abstain
2,Peter Gast,Abstain,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Bill Hayner,Yes,Yes,Yes,Yes,Yes,,,,
2,Aimee Lim-Miller,No,No,Abstain,Abstain,Yes,Yes,Yes,Abstain,Abstain
2,William Logan,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
2,Mark McCabe,No,No,Yes,Yes,Yes,Yes,Yes,No,No
2,Virginia Reeder,,,,,Yes,Yes,Yes,,
2,Robert Rossi,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Brendan Sullivan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
