precinct,Name,n/a,n/a,1D88D3F7-F555-4343-A4A6-481B7F4D5B55,n/a,16C9B17C-7CFF-4F13-9D84-687326F60D38,F901FF06-DDAC-4784-812F-46EC012086C2,A869A967-3995-40D1-BF38-D3D6B5BDCE9B,n/a,FAF3F964-ED31-405C-B894-FFE28FFB5A69,n/a,4B32F748-1155-4BB5-B293-C4CA431F3530,DCD861B8-C3AB-4B9D-8A71-B68CCA0A23B2,84522EF1-9E2D-4037-8FDA-0D9D906E7F6D,E57E94DE-0BDE-4C5C-A75C-6510F9DEB412,D2DC06A2-1437-4CBC-8AD2-898893D1B6B9
1,Leah Broder,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Gregory Dennis,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Nada El-Newahy,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,,
1,Stephanie Ford-Weems,Yes,No,Yes,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Asia Kepka,Yes,Yes,Yes,No,Yes,Yes,,Yes,Yes,No,Yes,Yes,,,
1,Marian King,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Abstain,Abstain
1,Paul Marshall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Kevin Mills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Juliet Moir,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Rebecca Persson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Stephen Revilak,Abstain,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1,Peter Young,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Alexander Bilsky,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Steven Cella,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Samit Chhabra,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Stephen DeCourcey,Yes,Yes,Abstain,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Peter Gast,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Bill Hayner,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
2,Aimee Lim-Miller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,William Logan,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
2,Mark McCabe,Yes,,,,,,,,,,,,,,
2,Virginia Reeder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Robert Rossi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
2,Brendan Sullivan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
3,Adam Auster,Yes,Yes,Yes,No,Yes,Abstain,Yes,Abstain,Yes,Yes,No,Abstain,No,Yes,Yes
3,Lenard Diggins,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
