precinct,name,F2EE5268-B3D7-4FFB-946D-BBA6420CD08A,F269811E-0182-4910-88CA-B722AD80ED7A,C74EB903-21E9-4B6E-B8E8-173A93317BC3,33DB7292-EF25-4C2D-854C-671FA58B2E69,8B8D956A-CC99-495B-8E11-C1580FC1B801,D9012F47-326C-49BE-AF14-A6E27EE894FC,85DC6F60-7483-47B6-9914-C185FDD4E380,D99F5D0D-87C5-493E-84AD-64B31987F6E9
1,Leah Broder,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
1,Gregory Dennis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Nada El-Newahy,Yes,Yes,Yes,Yes,Yes,Yes,,
1,Stephanie Ford-Weems,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Asia Kepka,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
1,Marian King,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Paul Marshall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Kevin Mills,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Juliet Moir,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Rebecca Persson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Stephen Revilak,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
1,Peter Young,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Alexander Bilsky,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Steven Cella,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Samit Chhabra,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2,Stephen DeCourcey,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Peter Gast,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
2,Bill Hayner,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Aimee Lim-Miller,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
2,William Logan,No,No,Yes,Yes,Yes,Yes,Yes,Yes
2,Mark McCabe,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2,Virginia Reeder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Robert Rossi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2,Brendan Sullivan,No,No,Yes,Yes,Yes,Yes,Yes,Yes
3,Adam Auster,,,,,,Yes,Yes,Yes
3,Lenard Diggins,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Robin Dratch,,,,,,,,
3,John Ellis,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Robert Marlin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Kezia Simister,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Stacie Smith,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
3,Susan Stamps,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Jennifer Susse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3,Anne Thompson,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Abstain
3,Courtney Urick,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
3,Christopher Wilbur,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
4,Alia Atlas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Patricia Costa,,,,,,,,
4,Silvia Dominguez,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Nawwaf Kaba,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Kate Leary,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Adam MacNeill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Madeleine McClure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Michele Phelan,,,,,,,,
4,Clarissa Rowe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Alham Saadat,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Carolyn Sullivan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
4,Ethan Zimmer,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
5,Adam Badik,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
5,Jason Donnelly,,,,,,,,
5,Catherine Farrell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Patrick Hanlon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Christa Kelleher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Karen Kelleher,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Lauren Ledger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Katherine Mayers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Brian McMurray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Christine Michael,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,David Swanson,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
5,Peter Thompson,Yes,Yes,Yes,Yes,Yes,Yes,,
6,James Ballin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Charles Blandy,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Mara Collins,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Andrew Fischer,Yes,Yes,Yes,Abstain,Yes,No,Yes,Yes
6,Daniel Jalkut,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
6,Adele Kraus,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally,Yes Verbally
6,George McNinch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Theodore Peluso,,,,,,,,
6,Lisa Reynolds,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
6,Jill Snyder,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6,Laura Tracey,No,Yes,Yes,Yes,No,Yes,Yes,
6,Lesley Waxman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Alexander Bagnall,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Sheri Baron,No,Yes,Yes,Yes,Yes,No,Yes,Yes
7,Phil Goff,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Roderick Holland,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
7,Mary Malek-Odom,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
7,Catherine McParland,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes
7,Thomas Michelman,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
7,Lisa Pedulla,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Laurence Slotnick,Yes,Yes,Yes,No,No,Yes,Yes,Yes
7,Betty Stone,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
7,Timur Yontar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Rebecca Younkin,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Abstain
8,Carol Band,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
8,William Berkowitz,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Elizabeth Dray,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Charles Foskett,No,No,Yes,Yes,No,No,Yes,Yes
8,Irwin Grossman,Yes,Yes,Yes,Yes,Yes,Abstain,Yes,Yes
8,Sharon Grossman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Scott Lever,No,Abstain,Yes,No,Yes,Yes,Yes,No
8,Joshua Lobel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8,Sophie Migliazzo,Yes,Yes,Yes,No,,Yes,Yes,No
8,Brian Rehrig,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
8,John Worden,No,Yes,Abstain,Yes,Yes,No,Yes,Yes
8,Patricia Worden,Abstain,Yes,Abstain,Yes,Yes,No,Yes,Yes
9,Lisa Blankespoor,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Abstain
9,Barbara Boltz,Yes,Yes,Yes,Yes,No,No,Yes,Yes
9,Brian Hasbrouck,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Yes
9,Steven Liggett,Yes,Yes,Yes,Yes,Yes,Yes,Abstain,Yes
9,Mona Mandal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Susan McCabe,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Beth Melofchik,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9,Jo Anne Preston,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9,Michael Ruderman,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
9,Paul Schlichtman,Yes,Yes,Abstain,Yes,No,Yes,Yes,Yes
9,Susan Stewart,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9,Rieko Tanaka,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
10,Barbara Costa,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Danuta Forbes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Jane Howard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Peter Howard,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
10,Christian Klein,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Charlotte Milan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Sanjay Newton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Elizabeth Pyle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
10,Michael Quinn,Yes,Yes,No,Yes,Abstain,No,Abstain,Yes
10,Christopher Rohter,,,,,,,,
10,Mustafa Varoglu,Yes,Yes,Yes,Yes,No,No,Yes,Yes
10,Donna Wren,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Mary Ellen Bilafer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Christine Carney,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Lynette Culverhouse,Yes,Yes,Yes,Abstain,Yes,Yes,Yes,Abstain
11,Meredith DiMola,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Ian Goodsell,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Christopher Heigham,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Leba Heigham,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
11,Judson Pierce,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
11,Joyce Radochia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
